"id","nom","annref","canton","canton_mod","canton_lib","ra_3010_dim2","ra_3010_dim2_mod","ra_3010_dim2_lib","ra_3010_dim3","ra_3010_dim3_mod","ra_3010_dim3_lib","n118","n118_mod","n118_lib","n027","n027_mod","n027_lib","valeur","qualite"
1,"ra_3010",2003,"canton","2a02","bastelica","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",742,"oui"
2,"ra_3010",2003,"canton","2a02","bastelica","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",376,"oui"
3,"ra_3010",2003,"canton","2a02","bastelica","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",366,"oui"
4,"ra_3010",2003,"canton","2a02","bastelica","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",475,"oui"
5,"ra_3010",2003,"canton","2a02","bastelica","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",241,"oui"
6,"ra_3010",2003,"canton","2a02","bastelica","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",234,"oui"
7,"ra_3010",2003,"canton","2a02","bastelica","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",475,"oui"
8,"ra_3010",2003,"canton","2a02","bastelica","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",241,"oui"
9,"ra_3010",2003,"canton","2a02","bastelica","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",234,"oui"
10,"ra_3010",2003,"canton","2a02","bastelica","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",42,"oui"
11,"ra_3010",2003,"canton","2a02","bastelica","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",32,"oui"
12,"ra_3010",2003,"canton","2a02","bastelica","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",10,"oui"
13,"ra_3010",2003,"canton","2a02","bastelica","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",225,"oui"
14,"ra_3010",2003,"canton","2a02","bastelica","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",103,"oui"
