"id","commune","canton","departement","territoire_de_projet"
1,"aiti","bustanico","haute-corse","centre corse"
2,"aregno","belgodere","haute-corse","pays de balagne"
3,"calcatoggio","cruzini-cinarca","corse-du-sud","ouest corse"
4,"campitello","alto-di-casaconi","haute-corse","pays bastiais"
5,"casanova","venaco","haute-corse","centre corse"
6,"centuri","capobianco","haute-corse","pays bastiais"
7,"croce","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
8,"crocicchia","alto-di-casaconi","haute-corse","pays bastiais"
9,"giuncaggio","bustanico","haute-corse","plaine orientale"
10,"granace","sartene","corse-du-sud","taravo / valinco / sartenais"
11,"moita","moita-verde","haute-corse","plaine orientale"
12,"monacia-d'orezza","orezza-alesani","haute-corse","castagniccia / mare e monti"
13,"olmeto","olmeto","corse-du-sud","taravo / valinco / sartenais"
14,"palneca","zicavo","corse-du-sud","taravo / valinco / sartenais"
15,"porto-vecchio","porto-vecchio","corse-du-sud","extreme sud / alta rocca"
16,"saint-florent","la conca-d'oro","haute-corse","pays bastiais"
17,"san-gavino-di-carbini","levie","corse-du-sud","extreme sud / alta rocca"
18,"sari-d'orcino","cruzini-cinarca","corse-du-sud","ouest corse"
19,"sari-solenzara","porto-vecchio","corse-du-sud","plaine orientale"
20,"talasani","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
21,"tallone","moita-verde","haute-corse","plaine orientale"
22,"verdese","orezza-alesani","haute-corse","castagniccia / mare e monti"
23,"appietto","ajaccio 7e canton","corse-du-sud","pays ajaccien"
24,"aullene","tallano-scopamene","corse-du-sud","taravo / valinco / sartenais"
25,"ciamannacce","zicavo","corse-du-sud","taravo / valinco / sartenais"
26,"cristinacce","les deux-sevi","corse-du-sud","ouest corse"
27,"levie","levie","corse-du-sud","extreme sud / alta rocca"
28,"lozzi","niolu-omessa","haute-corse","centre corse"
29,"oletta","la conca-d'oro","haute-corse","pays bastiais"
30,"pancheraccia","bustanico","haute-corse","plaine orientale"
31,"penta-di-casinca","vescovato","haute-corse","castagniccia / mare e monti"
32,"santa-maria-siche","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
33,"santa-reparata-di-balagna","l'ile-rousse","haute-corse","pays de balagne"
34,"sarrola-carcopino","celavo-mezzana","corse-du-sud","pays ajaccien"
35,"solaro","prunelli-di-fiumorbo","haute-corse","plaine orientale"
36,"zilia","calenzana","haute-corse","pays de balagne"
37,"aghione","vezzani","haute-corse","plaine orientale"
38,"casalabriva","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
39,"corbara","l'ile-rousse","haute-corse","pays de balagne"
40,"olivese","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
41,"pie-d'orezza","orezza-alesani","haute-corse","castagniccia / mare e monti"
42,"pietralba","le haut-nebbio","haute-corse","pays de balagne"
43,"pieve","le haut-nebbio","haute-corse","pays bastiais"
44,"quercitello","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
45,"santa-maria-figaniella","olmeto","corse-du-sud","taravo / valinco / sartenais"
46,"scolca","alto-di-casaconi","haute-corse","pays bastiais"
47,"vero","celavo-mezzana","corse-du-sud","pays ajaccien"
48,"alata","ajaccio 7e canton","corse-du-sud","pays ajaccien"
49,"brando","sagro-di-santa-giulia","haute-corse","pays bastiais"
50,"cargiaca","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
