"id_cheptel","id_commune","id_volume","ra_3010_dim2_mod","ra_3010_dim3_mod","n118_mod","n027_mod","valeur","volume"
1,1,1,1,1,0,40,742,153399
2,1,1,1,1,0.11,40,376,153399
3,1,1,1,1,0.12,40,366,153399
4,1,1,2,1,0,40,475,153399
5,1,1,2,1,0.11,40,241,153399
6,1,1,2,1,0.12,40,234,153399
7,1,1,4,1,0,40,475,153399
8,1,1,4,1,0.11,40,241,153399
9,1,1,4,1,0.12,40,234,153399
10,1,1,5,1,0,40,42,153399
11,1,1,5,1,0.11,40,32,153399
12,1,1,5,1,0.12,40,10,153399
13,1,1,6,1,0,40,225,153399
14,1,1,6,1,0.11,40,103,153399
15,1,1,6,1,0.12,40,122,153399
16,1,1,7,1,0,40,78,153399
17,1,1,7,1,0.11,40,56,153399
18,1,1,7,1,0.12,40,22,153399
19,1,1,8,1,0,40,400,153399
20,1,1,10,1,0,40,2325,153399
21,1,1,10,1,0.11,40,857,153399
22,1,1,10,1,0.12,40,1468,153399
23,1,1,11,1,0,40,2039,153399
24,1,1,11,1,0.11,40,738,153399
25,1,1,11,1,0.12,40,1301,153399
26,1,1,1,1,0,40,609,153399
27,1,1,1,1,0.11,40,285,153399
28,1,1,1,1,0.12,40,324,153399
29,1,1,2,1,0,40,403,153399
30,1,1,2,1,0.11,40,200,153399
31,1,1,2,1,0.12,40,203,153399
32,1,1,4,1,0,40,403,153399
33,1,1,4,1,0.11,40,200,153399
34,1,1,4,1,0.12,40,203,153399
35,1,1,5,1,0,40,31,153399
36,1,1,5,1,0.11,40,17,153399
37,1,1,5,1,0.12,40,14,153399
38,1,1,6,1,0,40,175,153399
39,1,1,6,1,0.11,40,68,153399
40,1,1,6,1,0.12,40,107,153399
41,1,1,7,1,0,40,31,153399
42,1,1,7,1,0.11,40,17,153399
43,1,1,7,1,0.12,40,14,153399
44,1,1,10,1,0.11,40,733,153399
45,1,1,11,1,0,40,1125,153399
46,1,1,12,1,0,40,99,153399
47,1,1,12,1,0.11,40,26,153399
48,1,1,12,1,0.12,40,73,153399
49,1,1,1,1,0,40,979,153399
50,1,1,1,1,0.11,40,294,153399
1,2,1,1,1,0,40,742,153399
2,2,1,1,1,0.11,40,376,153399
3,2,1,1,1,0.12,40,366,153399
4,2,1,2,1,0,40,475,153399
5,2,1,2,1,0.11,40,241,153399
6,2,1,2,1,0.12,40,234,153399
7,2,1,4,1,0,40,475,153399
8,2,1,4,1,0.11,40,241,153399
9,2,1,4,1,0.12,40,234,153399
10,2,1,5,1,0,40,42,153399
11,2,1,5,1,0.11,40,32,153399
12,2,1,5,1,0.12,40,10,153399
13,2,1,6,1,0,40,225,153399
14,2,1,6,1,0.11,40,103,153399
15,2,1,6,1,0.12,40,122,153399
16,2,1,7,1,0,40,78,153399
17,2,1,7,1,0.11,40,56,153399
18,2,1,7,1,0.12,40,22,153399
19,2,1,8,1,0,40,400,153399
20,2,1,10,1,0,40,2325,153399
21,2,1,10,1,0.11,40,857,153399
22,2,1,10,1,0.12,40,1468,153399
23,2,1,11,1,0,40,2039,153399
24,2,1,11,1,0.11,40,738,153399
25,2,1,11,1,0.12,40,1301,153399
26,2,1,1,1,0,40,609,153399
27,2,1,1,1,0.11,40,285,153399
28,2,1,1,1,0.12,40,324,153399
29,2,1,2,1,0,40,403,153399
30,2,1,2,1,0.11,40,200,153399
31,2,1,2,1,0.12,40,203,153399
32,2,1,4,1,0,40,403,153399
33,2,1,4,1,0.11,40,200,153399
34,2,1,4,1,0.12,40,203,153399
35,2,1,5,1,0,40,31,153399
36,2,1,5,1,0.11,40,17,153399
37,2,1,5,1,0.12,40,14,153399
38,2,1,6,1,0,40,175,153399
39,2,1,6,1,0.11,40,68,153399
40,2,1,6,1,0.12,40,107,153399
41,2,1,7,1,0,40,31,153399
42,2,1,7,1,0.11,40,17,153399
43,2,1,7,1,0.12,40,14,153399
44,2,1,10,1,0.11,40,733,153399
45,2,1,11,1,0,40,1125,153399
46,2,1,12,1,0,40,99,153399
47,2,1,12,1,0.11,40,26,153399
48,2,1,12,1,0.12,40,73,153399
49,2,1,1,1,0,40,979,153399
50,2,1,1,1,0.11,40,294,153399
1,3,1,1,1,0,40,742,153399
2,3,1,1,1,0.11,40,376,153399
3,3,1,1,1,0.12,40,366,153399
4,3,1,2,1,0,40,475,153399
5,3,1,2,1,0.11,40,241,153399
6,3,1,2,1,0.12,40,234,153399
7,3,1,4,1,0,40,475,153399
8,3,1,4,1,0.11,40,241,153399
9,3,1,4,1,0.12,40,234,153399
10,3,1,5,1,0,40,42,153399
11,3,1,5,1,0.11,40,32,153399
12,3,1,5,1,0.12,40,10,153399
13,3,1,6,1,0,40,225,153399
14,3,1,6,1,0.11,40,103,153399
15,3,1,6,1,0.12,40,122,153399
16,3,1,7,1,0,40,78,153399
17,3,1,7,1,0.11,40,56,153399
18,3,1,7,1,0.12,40,22,153399
19,3,1,8,1,0,40,400,153399
20,3,1,10,1,0,40,2325,153399
21,3,1,10,1,0.11,40,857,153399
22,3,1,10,1,0.12,40,1468,153399
23,3,1,11,1,0,40,2039,153399
24,3,1,11,1,0.11,40,738,153399
25,3,1,11,1,0.12,40,1301,153399
26,3,1,1,1,0,40,609,153399
27,3,1,1,1,0.11,40,285,153399
28,3,1,1,1,0.12,40,324,153399
29,3,1,2,1,0,40,403,153399
30,3,1,2,1,0.11,40,200,153399
31,3,1,2,1,0.12,40,203,153399
32,3,1,4,1,0,40,403,153399
33,3,1,4,1,0.11,40,200,153399
34,3,1,4,1,0.12,40,203,153399
35,3,1,5,1,0,40,31,153399
36,3,1,5,1,0.11,40,17,153399
37,3,1,5,1,0.12,40,14,153399
38,3,1,6,1,0,40,175,153399
39,3,1,6,1,0.11,40,68,153399
40,3,1,6,1,0.12,40,107,153399
41,3,1,7,1,0,40,31,153399
42,3,1,7,1,0.11,40,17,153399
43,3,1,7,1,0.12,40,14,153399
44,3,1,10,1,0.11,40,733,153399
45,3,1,11,1,0,40,1125,153399
46,3,1,12,1,0,40,99,153399
47,3,1,12,1,0.11,40,26,153399
48,3,1,12,1,0.12,40,73,153399
49,3,1,1,1,0,40,979,153399
50,3,1,1,1,0.11,40,294,153399
1,4,1,1,1,0,40,742,153399
2,4,1,1,1,0.11,40,376,153399
3,4,1,1,1,0.12,40,366,153399
4,4,1,2,1,0,40,475,153399
5,4,1,2,1,0.11,40,241,153399
6,4,1,2,1,0.12,40,234,153399
7,4,1,4,1,0,40,475,153399
8,4,1,4,1,0.11,40,241,153399
9,4,1,4,1,0.12,40,234,153399
10,4,1,5,1,0,40,42,153399
11,4,1,5,1,0.11,40,32,153399
12,4,1,5,1,0.12,40,10,153399
13,4,1,6,1,0,40,225,153399
14,4,1,6,1,0.11,40,103,153399
15,4,1,6,1,0.12,40,122,153399
16,4,1,7,1,0,40,78,153399
17,4,1,7,1,0.11,40,56,153399
18,4,1,7,1,0.12,40,22,153399
19,4,1,8,1,0,40,400,153399
20,4,1,10,1,0,40,2325,153399
21,4,1,10,1,0.11,40,857,153399
22,4,1,10,1,0.12,40,1468,153399
23,4,1,11,1,0,40,2039,153399
24,4,1,11,1,0.11,40,738,153399
25,4,1,11,1,0.12,40,1301,153399
26,4,1,1,1,0,40,609,153399
27,4,1,1,1,0.11,40,285,153399
28,4,1,1,1,0.12,40,324,153399
29,4,1,2,1,0,40,403,153399
30,4,1,2,1,0.11,40,200,153399
31,4,1,2,1,0.12,40,203,153399
32,4,1,4,1,0,40,403,153399
33,4,1,4,1,0.11,40,200,153399
34,4,1,4,1,0.12,40,203,153399
35,4,1,5,1,0,40,31,153399
36,4,1,5,1,0.11,40,17,153399
37,4,1,5,1,0.12,40,14,153399
38,4,1,6,1,0,40,175,153399
39,4,1,6,1,0.11,40,68,153399
40,4,1,6,1,0.12,40,107,153399
41,4,1,7,1,0,40,31,153399
42,4,1,7,1,0.11,40,17,153399
43,4,1,7,1,0.12,40,14,153399
44,4,1,10,1,0.11,40,733,153399
45,4,1,11,1,0,40,1125,153399
46,4,1,12,1,0,40,99,153399
47,4,1,12,1,0.11,40,26,153399
48,4,1,12,1,0.12,40,73,153399
49,4,1,1,1,0,40,979,153399
50,4,1,1,1,0.11,40,294,153399
1,5,1,1,1,0,40,742,153399
2,5,1,1,1,0.11,40,376,153399
3,5,1,1,1,0.12,40,366,153399
4,5,1,2,1,0,40,475,153399
5,5,1,2,1,0.11,40,241,153399
6,5,1,2,1,0.12,40,234,153399
7,5,1,4,1,0,40,475,153399
8,5,1,4,1,0.11,40,241,153399
9,5,1,4,1,0.12,40,234,153399
10,5,1,5,1,0,40,42,153399
11,5,1,5,1,0.11,40,32,153399
12,5,1,5,1,0.12,40,10,153399
13,5,1,6,1,0,40,225,153399
14,5,1,6,1,0.11,40,103,153399
15,5,1,6,1,0.12,40,122,153399
16,5,1,7,1,0,40,78,153399
17,5,1,7,1,0.11,40,56,153399
18,5,1,7,1,0.12,40,22,153399
19,5,1,8,1,0,40,400,153399
20,5,1,10,1,0,40,2325,153399
21,5,1,10,1,0.11,40,857,153399
22,5,1,10,1,0.12,40,1468,153399
23,5,1,11,1,0,40,2039,153399
24,5,1,11,1,0.11,40,738,153399
25,5,1,11,1,0.12,40,1301,153399
26,5,1,1,1,0,40,609,153399
27,5,1,1,1,0.11,40,285,153399
28,5,1,1,1,0.12,40,324,153399
29,5,1,2,1,0,40,403,153399
30,5,1,2,1,0.11,40,200,153399
31,5,1,2,1,0.12,40,203,153399
32,5,1,4,1,0,40,403,153399
33,5,1,4,1,0.11,40,200,153399
34,5,1,4,1,0.12,40,203,153399
35,5,1,5,1,0,40,31,153399
36,5,1,5,1,0.11,40,17,153399
37,5,1,5,1,0.12,40,14,153399
38,5,1,6,1,0,40,175,153399
