id,date,territoire,volume_eau_brute
1,2005,7,153399
2,2013,17,819
3,2017,13,1961255
4,2015,17,243
5,2009,5,1568072
6,2011,10,372978
7,2003,8,14130
8,2003,2,1918909
9,2003,17,645
10,2005,6,1657374
11,2005,14,230334
12,2005,1,4447776
13,2007,18,1729533
14,2007,6,2113844
15,2008,8,24668
16,2008,18,1336605
17,2009,14,130575
18,2014,19,3785728
19,2016,13,1351852
20,2017,9,1016807
21,2017,17,292
22,2003,10,627056
23,2010,7,142582
24,2008,2,1537521
25,2008,10,371200
26,2015,15,2263662
27,2013,16,12797
28,2012,7,175296
29,2017,6,2078649
30,2003,5,2082534
31,2004,3,106227
32,2005,16,73877
33,2006,14,150438
34,2006,7,161246
35,2010,5,1317193
36,2012,14,235295
37,2016,3,222293
38,2014,18,1669561
39,2009,17,735
40,2010,9,501933
41,2013,5,1111826
42,2013,11,2310168
43,2012,4,1206939
44,2008,5,1472362
45,2009,11,2658043
46,2007,19,3166259
47,2010,13,930120
48,2012,11,2420308
49,2014,17,467
50,2005,8,20480
51,2014,8,29921
52,2016,15,1986073
53,2017,19,4218445
54,2008,1,4528151
55,2009,7,191345
56,2011,20,1394401
57,2011,19,3427012
58,2006,2,1689596
59,2007,14,242434
60,2006,12,3704412
61,2003,18,1198495
62,2005,12,3068924
63,2007,20,1851142
64,2006,4,1164415
65,2006,19,3309956
66,2008,9,584654
67,2014,20,1055632
68,2012,17,417
69,2015,10,505720
70,2015,19,3680112
71,2017,15,2441075
72,2016,7,184642
73,2017,10,613444
74,2003,19,4132255
75,2010,18,1193825
76,2010,20,1277275
77,2011,12,2871499
78,2006,10,390727
79,2006,15,1762154
80,2006,3,101126
81,2016,11,2737640
82,2017,14,209719
83,2014,13,1404549
84,2012,10,427312
85,2013,10,414459
86,2013,15,2162568
87,2004,14,105185
88,2003,4,1048121
89,2007,10,397025
90,2007,9,1235962
91,2011,13,1339568
92,2010,4,1150894
93,2011,3,103695
94,2017,8,32278
95,2016,12,3397770
96,2013,18,1363447
97,2013,1,4425064
98,2007,8,28957
99,2007,17,420
100,2005,18,1284395
101,2005,20,1854427
102,2005,9,672191
103,2008,11,2287308
104,2009,13,1248388
105,2010,15,1540475
106,2009,1,4816103
107,2012,13,1303854
108,2011,7,201729
109,2016,14,189968
110,2015,3,235710
111,2016,2,1938151
112,2016,17,341
113,2005,2,1255099
114,2003,13,1539728
115,2003,12,4743067
116,2004,12,4389848
117,2014,11,2570918
118,2015,20,1360614
119,2014,1,4804773
120,2013,12,3266202
121,2014,7,157530
122,2017,11,2905233
123,2015,12,3012533
124,2009,12,2776555
125,2012,9,562040
126,2013,9,461569
127,2006,13,1188954
128,2006,20,2124224
129,2008,15,1657134
130,2003,6,2394671
131,2004,4,1109275
132,2005,13,1098061
133,2004,20,1637709
134,2005,4,1218388
135,2008,13,1039997
136,2011,6,1949204
137,2015,16,22231
138,2004,2,1458729
139,2003,11,4142196
140,2003,16,124692
141,2009,6,1859178
142,2009,3,54389
143,2006,6,1895786
144,2005,5,1668006
145,2007,16,60953
146,2005,3,111785
147,2008,6,1636551
148,2017,2,2382646
149,2017,4,1419938
150,2004,19,3637699
151,2016,6,2022344
152,2016,1,5049686
153,2016,9,722512
154,2015,4,1522251
155,2014,9,761017
156,2014,3,248216
157,2008,7,104703
158,2012,5,1160385
159,2012,16,57717
160,2004,10,451858
161,2005,15,1802820
162,2004,17,365
163,2003,1,5217347
164,2006,8,25911
165,2006,18,1443547
166,2011,11,2738487
167,2016,19,3888325
168,2016,5,1459059
169,2005,10,510334
170,2015,11,2802417
171,2017,5,1618004
172,2017,1,5885984
173,2008,16,22249
174,2010,19,2779748
175,2012,8,28344
176,2011,4,1311549
177,2012,15,2013999
178,2012,19,3496130
179,2012,1,4757969
180,2006,5,1734120
181,2007,4,1034856
182,2003,14,117190
183,2003,9,583043
184,2004,9,427222
185,2004,18,1070630
186,2004,7,121090
187,2006,11,3134255
188,2010,14,114038
189,2010,8,24527
190,2012,18,1663399
191,2013,6,1561928
192,2011,9,545865
