"ANNREF","CANTON","CANTON_MOD","CANTON_LIB","RA_3010_DIM2","RA_3010_DIM2_MOD","RA_3010_DIM2_LIB","RA_3010_DIM3","RA_3010_DIM3_MOD","RA_3010_DIM3_LIB","N118","N118_MOD","N118_LIB","N027","N027_MOD","N027_LIB","VALEUR","QUALITE","�..NOM"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",29,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",742,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",10.01,"Exploitation",19,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",40,"Cheptel",376,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",10.01,"Exploitation",10,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",40,"Cheptel",366,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",3,"Dont 1 à 39 têtes (total bovins)","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",25,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",3,"Dont 1 à 39 têtes (total bovins)","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",514,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",3,"Dont 1 à 39 têtes (total bovins)","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",10.01,"Exploitation",17,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",3,"Dont 1 à 39 têtes (total bovins)","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",40,"Cheptel",276,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",3,"Dont 1 à 39 têtes (total bovins)","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",10.01,"Exploitation",8,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",1,"Total Bovins","Taille du troupeau",3,"Dont 1 à 39 têtes (total bovins)","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",40,"Cheptel",238,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",29,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",475,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",10.01,"Exploitation",19,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",40,"Cheptel",241,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",10.01,"Exploitation",10,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",40,"Cheptel",234,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",2,"Dont 1 à 19 têtes (vaches, chèvres, brebis nourrices, porcs, truies, poulets)","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",20,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",2,"Dont 1 à 19 têtes (vaches, chèvres, brebis nourrices, porcs, truies, poulets)","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",231,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",2,"Dont 1 à 19 têtes (vaches, chèvres, brebis nourrices, porcs, truies, poulets)","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",10.01,"Exploitation",16,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",2,"Total Vaches","Taille du troupeau",2,"Dont 1 à 19 têtes (vaches, chèvres, brebis nourrices, porcs, truies, poulets)","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",40,"Cheptel",167,"OUI","RA_3010"
