"commune","canton","departement","territoire_de_projet"
"aiti","bustanico","haute-corse","centre corse"
"aregno","belgodere","haute-corse","pays de balagne"
"calcatoggio","cruzini-cinarca","corse-du-sud","ouest corse"
"campitello","alto-di-casaconi","haute-corse","pays bastiais"
"casanova","venaco","haute-corse","centre corse"
"centuri","capobianco","haute-corse","pays bastiais"
"croce","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"crocicchia","alto-di-casaconi","haute-corse","pays bastiais"
"giuncaggio","bustanico","haute-corse","plaine orientale"
"granace","sartene","corse-du-sud","taravo / valinco / sartenais"
"moita","moita-verde","haute-corse","plaine orientale"
"monacia-d'orezza","orezza-alesani","haute-corse","castagniccia / mare e monti"
"olmeto","olmeto","corse-du-sud","taravo / valinco / sartenais"
"palneca","zicavo","corse-du-sud","taravo / valinco / sartenais"
"porto-vecchio","porto-vecchio","corse-du-sud","extreme sud / alta rocca"
"saint-florent","la conca-d'oro","haute-corse","pays bastiais"
"san-gavino-di-carbini","levie","corse-du-sud","extreme sud / alta rocca"
"sari-d'orcino","cruzini-cinarca","corse-du-sud","ouest corse"
"sari-solenzara","porto-vecchio","corse-du-sud","plaine orientale"
"talasani","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"tallone","moita-verde","haute-corse","plaine orientale"
"verdese","orezza-alesani","haute-corse","castagniccia / mare e monti"
"appietto","ajaccio 7e canton","corse-du-sud","pays ajaccien"
"aullene","tallano-scopamene","corse-du-sud","taravo / valinco / sartenais"
"ciamannacce","zicavo","corse-du-sud","taravo / valinco / sartenais"
"cristinacce","les deux-sevi","corse-du-sud","ouest corse"
"levie","levie","corse-du-sud","extreme sud / alta rocca"
"lozzi","niolu-omessa","haute-corse","centre corse"
"oletta","la conca-d'oro","haute-corse","pays bastiais"
"pancheraccia","bustanico","haute-corse","plaine orientale"
"penta-di-casinca","vescovato","haute-corse","castagniccia / mare e monti"
"santa-maria-siche","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"santa-reparata-di-balagna","l'ile-rousse","haute-corse","pays de balagne"
"sarrola-carcopino","celavo-mezzana","corse-du-sud","pays ajaccien"
"solaro","prunelli-di-fiumorbo","haute-corse","plaine orientale"
"zilia","calenzana","haute-corse","pays de balagne"
"aghione","vezzani","haute-corse","plaine orientale"
"casalabriva","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
"corbara","l'ile-rousse","haute-corse","pays de balagne"
"olivese","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
"pie-d'orezza","orezza-alesani","haute-corse","castagniccia / mare e monti"
"pietralba","le haut-nebbio","haute-corse","pays de balagne"
"pieve","le haut-nebbio","haute-corse","pays bastiais"
"quercitello","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"santa-maria-figaniella","olmeto","corse-du-sud","taravo / valinco / sartenais"
"scolca","alto-di-casaconi","haute-corse","pays bastiais"
"vero","celavo-mezzana","corse-du-sud","pays ajaccien"
"alata","ajaccio 7e canton","corse-du-sud","pays ajaccien"
"brando","sagro-di-santa-giulia","haute-corse","pays bastiais"
"cargiaca","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"coggia","les deux-sorru","corse-du-sud","ouest corse"
"erbajolo","bustanico","haute-corse","centre corse"
"grosseto-prugna","santa-maria-siche","corse-du-sud","pays ajaccien"
"manso","calenzana","haute-corse","pays de balagne"
"murzo","les deux-sorru","corse-du-sud","ouest corse"
"piedicroce","orezza-alesani","haute-corse","castagniccia / mare e monti"
"pietrosella","santa-maria-siche","corse-du-sud","pays ajaccien"
"porri","vescovato","haute-corse","castagniccia / mare e monti"
"propriano","olmeto","corse-du-sud","taravo / valinco / sartenais"
"prunelli-di-fiumorbo","prunelli-di-fiumorbo","haute-corse","plaine orientale"
"rosazia","cruzini-cinarca","corse-du-sud","ouest corse"
"rutali","le haut-nebbio","haute-corse","pays bastiais"
"scata","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"sisco","sagro-di-santa-giulia","haute-corse","pays bastiais"
"soccia","les deux-sorru","corse-du-sud","ouest corse"
"stazzona","orezza-alesani","haute-corse","castagniccia / mare e monti"
"tavera","celavo-mezzana","corse-du-sud","pays ajaccien"
"valle-d'alesani","orezza-alesani","haute-corse","castagniccia / mare e monti"
"zevaco","zicavo","corse-du-sud","taravo / valinco / sartenais"
"albertacce","niolu-omessa","haute-corse","centre corse"
"chiatra","moita-verde","haute-corse","plaine orientale"
"cozzano","zicavo","corse-du-sud","taravo / valinco / sartenais"
"marignana","les deux-sevi","corse-du-sud","ouest corse"
"mausoleo","belgodere","haute-corse","pays de balagne"
"occhiatana","belgodere","haute-corse","pays de balagne"
"rapale","le haut-nebbio","haute-corse","pays bastiais"
"renno","les deux-sorru","corse-du-sud","ouest corse"
"sant'andrea-di-bozio","bustanico","haute-corse","centre corse"
"santa-reparata-di-moriani","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"zalana","moita-verde","haute-corse","plaine orientale"
"calacuccia","niolu-omessa","haute-corse","centre corse"
"cargese","les deux-sevi","corse-du-sud","ouest corse"
"cervione","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"corscia","niolu-omessa","haute-corse","centre corse"
"evisa","les deux-sevi","corse-du-sud","ouest corse"
"favalello","bustanico","haute-corse","centre corse"
"felce","orezza-alesani","haute-corse","castagniccia / mare e monti"
"lugo-di-nazza","ghisoni","haute-corse","plaine orientale"
"moca-croce","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
"olmeta-di-capocorso","sagro-di-santa-giulia","haute-corse","pays bastiais"
"piana","les deux-sevi","corse-du-sud","ouest corse"
"santo-pietro-di-tenda","le haut-nebbio","haute-corse","pays bastiais"
"venaco","venaco","haute-corse","centre corse"
"alando","bustanico","haute-corse","centre corse"
"canavaggia","alto-di-casaconi","haute-corse","centre corse"
"castellare-di-mercurio","bustanico","haute-corse","centre corse"
"corte","corte","haute-corse","centre corse"
"foce","sartene","corse-du-sud","taravo / valinco / sartenais"
"guagno","les deux-sorru","corse-du-sud","ouest corse"
"lama","le haut-nebbio","haute-corse","pays de balagne"
"peri","celavo-mezzana","corse-du-sud","pays ajaccien"
"piazzole","orezza-alesani","haute-corse","castagniccia / mare e monti"
"riventosa","venaco","haute-corse","centre corse"
"santa-maria-poggio","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"ventiseri","prunelli-di-fiumorbo","haute-corse","plaine orientale"
"afa","ajaccio 7e canton","corse-du-sud","pays ajaccien"
"altagene","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"argiusta-moriccio","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
"barbaggio","la conca-d'oro","haute-corse","pays bastiais"
"bastelicaccia","ajaccio 7e canton","corse-du-sud","pays ajaccien"
"calenzana","calenzana","haute-corse","pays de balagne"
"carpineto","orezza-alesani","haute-corse","castagniccia / mare e monti"
"gavignano","castifao-morosaglia","haute-corse","centre corse"
"ogliastro","sagro-di-santa-giulia","haute-corse","pays bastiais"
"piazzali","orezza-alesani","haute-corse","castagniccia / mare e monti"
"piedicorte-di-gaggio","bustanico","haute-corse","centre corse"
"quenza","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"rospigliani","vezzani","haute-corse","centre corse"
"san-giovanni-di-moriani","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"valle-d'orezza","orezza-alesani","haute-corse","castagniccia / mare e monti"
"azilone-ampaza","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"biguglia","borgo","haute-corse","pays bastiais"
"bocognano","celavo-mezzana","corse-du-sud","pays ajaccien"
"bonifacio","bonifacio","corse-du-sud","extreme sud / alta rocca"
"cagnano","capobianco","haute-corse","pays bastiais"
"casevecchie","vezzani","haute-corse","plaine orientale"
"ersa","capobianco","haute-corse","pays bastiais"
"ficaja","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"lopigna","cruzini-cinarca","corse-du-sud","ouest corse"
"nonza","sagro-di-santa-giulia","haute-corse","pays bastiais"
"novella","belgodere","haute-corse","pays de balagne"
"ota","les deux-sevi","corse-du-sud","ouest corse"
"poggiolo","les deux-sorru","corse-du-sud","ouest corse"
"poggio-mezzana","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"pruno","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"santo-pietro-di-venaco","venaco","haute-corse","centre corse"
"taglio-isolaccio","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"tolla","bastelica","corse-du-sud","pays ajaccien"
"tox","moita-verde","haute-corse","plaine orientale"
"vallecalle","la conca-d'oro","haute-corse","pays bastiais"
"volpajola","alto-di-casaconi","haute-corse","pays bastiais"
"azzana","cruzini-cinarca","corse-du-sud","ouest corse"
"bisinchi","castifao-morosaglia","haute-corse","centre corse"
"bustanico","bustanico","haute-corse","centre corse"
"cambia","bustanico","haute-corse","centre corse"
"casamaccioli","niolu-omessa","haute-corse","centre corse"
"cauro","bastelica","corse-du-sud","pays ajaccien"
"nessa","belgodere","haute-corse","pays de balagne"
"olmo","alto-di-casaconi","haute-corse","pays bastiais"
"san-damiano","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"sant'andrea-d'orcino","cruzini-cinarca","corse-du-sud","ouest corse"
"sollacaro","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
"sorbo-ocagnano","vescovato","haute-corse","castagniccia / mare e monti"
"carbini","levie","corse-du-sud","extreme sud / alta rocca"
"focicchia","bustanico","haute-corse","centre corse"
"furiani","bastia (furiani-montesoro)","haute-corse","pays bastiais"
"galeria","calenzana","haute-corse","pays de balagne"
"meria","capobianco","haute-corse","pays bastiais"
"novale","orezza-alesani","haute-corse","castagniccia / mare e monti"
"orto","les deux-sorru","corse-du-sud","ouest corse"
"pigna","l'ile-rousse","haute-corse","pays de balagne"
"polveroso","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"popolasca","niolu-omessa","haute-corse","centre corse"
"santa-lucia-di-mercurio","bustanico","haute-corse","centre corse"
"sant'antonino","l'ile-rousse","haute-corse","pays de balagne"
"serriera","les deux-sevi","corse-du-sud","ouest corse"
"silvareccio","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"villanova","ajaccio 7e canton","corse-du-sud","pays ajaccien"
"aleria","moita-verde","haute-corse","plaine orientale"
"lento","alto-di-casaconi","haute-corse","centre corse"
"palasca","belgodere","haute-corse","pays de balagne"
"parata","orezza-alesani","haute-corse","castagniccia / mare e monti"
"pastricciola","cruzini-cinarca","corse-du-sud","ouest corse"
"pianello","moita-verde","haute-corse","plaine orientale"
"soveria","niolu-omessa","haute-corse","centre corse"
"vico","les deux-sorru","corse-du-sud","ouest corse"
"arro","cruzini-cinarca","corse-du-sud","ouest corse"
"lano","bustanico","haute-corse","centre corse"
"morsiglia","capobianco","haute-corse","pays bastiais"
"muracciole","venaco","haute-corse","centre corse"
"ocana","bastelica","corse-du-sud","pays ajaccien"
"sampolo","zicavo","corse-du-sud","taravo / valinco / sartenais"
"sermano","bustanico","haute-corse","centre corse"
"tarrano","orezza-alesani","haute-corse","castagniccia / mare e monti"
"tavaco","celavo-mezzana","corse-du-sud","pays ajaccien"
"urbalacone","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"valle-di-campoloro","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"alzi","bustanico","haute-corse","centre corse"
"bastia","bastia","haute-corse","pays bastiais"
"bigorno","alto-di-casaconi","haute-corse","pays bastiais"
"carcheto-brustico","orezza-alesani","haute-corse","castagniccia / mare e monti"
"cardo-torgia","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"conca","porto-vecchio","corse-du-sud","plaine orientale"
