"id","date","territoire","volume_eau_brute"
1,2005,"ortolo",153399
2,2013,"rogliano",819
3,2017,"tavignano",1961255
4,2015,"rogliano",243
5,2009,"linguizetta",1568072
6,2011,"mignataja",372978
7,2003,"porto vecchio muratello",14130
8,2003,"haut-tavignano",1918909
9,2003,"rogliano",645
10,2005,"tagnone-tavignano",1657374
11,2005,"bas tavaro",230334
12,2005,"sud-est",4447776
13,2007,"prunelli arghiaccia",1729533
14,2007,"tagnone-tavignano",2113844
15,2008,"porto vecchio muratello",24668
16,2008,"prunelli arghiaccia",1336605
17,2009,"bas tavaro",130575
18,2014,"casinca",3785728
19,2016,"tavignano",1351852
20,2017,"balagne",1016807
21,2017,"rogliano",292
22,2003,"mignataja",627056
23,2010,"ortolo",142582
24,2008,"haut-tavignano",1537521
25,2008,"mignataja",371200
26,2015,"alesani",2263662
27,2013,"haut tavaro",12797
28,2012,"ortolo",175296
29,2017,"tagnone-tavignano",2078649
30,2003,"linguizetta",2082534
31,2004,"nebbiu",106227
32,2005,"haut tavaro",73877
33,2006,"bas tavaro",150438
34,2006,"ortolo",161246
35,2010,"linguizetta",1317193
36,2012,"bas tavaro",235295
37,2016,"nebbiu",222293
38,2014,"prunelli arghiaccia",1669561
39,2009,"rogliano",735
40,2010,"balagne",501933
41,2013,"linguizetta",1111826
42,2013,"ghisonaccia",2310168
43,2012,"bravone",1206939
44,2008,"linguizetta",1472362
45,2009,"ghisonaccia",2658043
46,2007,"casinca",3166259
47,2010,"tavignano",930120
48,2012,"ghisonaccia",2420308
49,2014,"rogliano",467
50,2005,"porto vecchio muratello",20480
51,2014,"porto vecchio muratello",29921
52,2016,"alesani",1986073
53,2017,"casinca",4218445
54,2008,"sud-est",4528151
55,2009,"ortolo",191345
56,2011,"fiumorbo",1394401
57,2011,"casinca",3427012
58,2006,"haut-tavignano",1689596
59,2007,"bas tavaro",242434
60,2006,"marana",3704412
61,2003,"prunelli arghiaccia",1198495
62,2005,"marana",3068924
63,2007,"fiumorbo",1851142
64,2006,"bravone",1164415
65,2006,"casinca",3309956
66,2008,"balagne",584654
67,2014,"fiumorbo",1055632
68,2012,"rogliano",417
69,2015,"mignataja",505720
70,2015,"casinca",3680112
71,2017,"alesani",2441075
72,2016,"ortolo",184642
73,2017,"mignataja",613444
74,2003,"casinca",4132255
75,2010,"prunelli arghiaccia",1193825
76,2010,"fiumorbo",1277275
77,2011,"marana",2871499
78,2006,"mignataja",390727
79,2006,"alesani",1762154
80,2006,"nebbiu",101126
81,2016,"ghisonaccia",2737640
82,2017,"bas tavaro",209719
83,2014,"tavignano",1404549
84,2012,"mignataja",427312
85,2013,"mignataja",414459
86,2013,"alesani",2162568
87,2004,"bas tavaro",105185
88,2003,"bravone",1048121
89,2007,"mignataja",397025
90,2007,"balagne",1235962
91,2011,"tavignano",1339568
92,2010,"bravone",1150894
93,2011,"nebbiu",103695
94,2017,"porto vecchio muratello",32278
95,2016,"marana",3397770
96,2013,"prunelli arghiaccia",1363447
97,2013,"sud-est",4425064
98,2007,"porto vecchio muratello",28957
99,2007,"rogliano",420
100,2005,"prunelli arghiaccia",1284395
101,2005,"fiumorbo",1854427
102,2005,"balagne",672191
103,2008,"ghisonaccia",2287308
104,2009,"tavignano",1248388
105,2010,"alesani",1540475
106,2009,"sud-est",4816103
107,2012,"tavignano",1303854
108,2011,"ortolo",201729
109,2016,"bas tavaro",189968
110,2015,"nebbiu",235710
111,2016,"haut-tavignano",1938151
112,2016,"rogliano",341
113,2005,"haut-tavignano",1255099
114,2003,"tavignano",1539728
115,2003,"marana",4743067
116,2004,"marana",4389848
117,2014,"ghisonaccia",2570918
118,2015,"fiumorbo",1360614
119,2014,"sud-est",4804773
120,2013,"marana",3266202
121,2014,"ortolo",157530
122,2017,"ghisonaccia",2905233
123,2015,"marana",3012533
124,2009,"marana",2776555
125,2012,"balagne",562040
126,2013,"balagne",461569
127,2006,"tavignano",1188954
128,2006,"fiumorbo",2124224
129,2008,"alesani",1657134
130,2003,"tagnone-tavignano",2394671
131,2004,"bravone",1109275
132,2005,"tavignano",1098061
133,2004,"fiumorbo",1637709
134,2005,"bravone",1218388
135,2008,"tavignano",1039997
136,2011,"tagnone-tavignano",1949204
137,2015,"haut tavaro",22231
138,2004,"haut-tavignano",1458729
139,2003,"ghisonaccia",4142196
140,2003,"haut tavaro",124692
141,2009,"tagnone-tavignano",1859178
142,2009,"nebbiu",54389
143,2006,"tagnone-tavignano",1895786
144,2005,"linguizetta",1668006
