Date;Territoire;Volume Eau Brute
2005;Ortolo;153399
2013;Rogliano;819
2017;Tavignano;1961255
2015;Rogliano;243
2009;Linguizetta;1568072
2011;Mignataja;372978
2003;Porto Vecchio Muratello;14130
2003;Haut-Tavignano;1918909
2003;Rogliano;645
2005;Tagnone-Tavignano;1657374
2005;Bas Tavaro;230334
2005;Sud-Est;4447776
2007;Prunelli Arghiaccia;1729533
2007;Tagnone-Tavignano;2113844
2008;Porto Vecchio Muratello;24668
2008;Prunelli Arghiaccia;1336605
2009;Bas Tavaro;130575
2014;Casinca;3785728
2016;Tavignano;1351852
2017;Balagne;1016807
2017;Rogliano;292
2003;Mignataja;627056
2010;Ortolo;142582
2008;Haut-Tavignano;1537521
2008;Mignataja;371200
2015;Alesani;2263662
2013;Haut Tavaro;12797
2012;Ortolo;175296
2017;Tagnone-Tavignano;2078649
2003;Linguizetta;2082534
2004;Nebbiu;106227
2005;Haut Tavaro;73877
2006;Bas Tavaro;150438
2006;Ortolo;161246
2010;Linguizetta;1317193
2012;Bas Tavaro;235295
2016;Nebbiu;222293
2014;Prunelli Arghiaccia;1669561
2009;Rogliano;735
2010;Balagne;501933
2013;Linguizetta;1111826
2013;Ghisonaccia;2310168
2012;Bravone;1206939
2008;Linguizetta;1472362
2009;Ghisonaccia;2658043
2007;Casinca;3166259
2010;Tavignano;930120
2012;Ghisonaccia;2420308
2014;Rogliano;467
2005;Porto Vecchio Muratello;20480
2014;Porto Vecchio Muratello;29921
2016;Alesani;1986073
2017;Casinca;4218445
2008;Sud-Est;4528151
2009;Ortolo;191345
2011;Fiumorbo;1394401
2011;Casinca;3427012
2006;Haut-Tavignano;1689596
2007;Bas Tavaro;242434
2006;Marana;3704412
2003;Prunelli Arghiaccia;1198495
2005;Marana;3068924
2007;Fiumorbo;1851142
2006;Bravone;1164415
2006;Casinca;3309956
2008;Balagne;584654
2014;Fiumorbo;1055632
2012;Rogliano;417
2015;Mignataja;505720
2015;Casinca;3680112
2017;Alesani;2441075
2016;Ortolo;184642
2017;Mignataja;613444
2003;Casinca;4132255
2010;Prunelli Arghiaccia;1193825
2010;Fiumorbo;1277275
2011;Marana;2871499
2006;Mignataja;390727
2006;Alesani;1762154
2006;Nebbiu;101126
2016;Ghisonaccia;2737640
2017;Bas Tavaro;209719
2014;Tavignano;1404549
2012;Mignataja;427312
2013;Mignataja;414459
2013;Alesani;2162568
2004;Bas Tavaro;105185
2003;Bravone;1048121
2007;Mignataja;397025
2007;Balagne;1235962
2011;Tavignano;1339568
2010;Bravone;1150894
2011;Nebbiu;103695
2017;Porto Vecchio Muratello;32278
2016;Marana;3397770
2013;Prunelli Arghiaccia;1363447
2013;Sud-Est;4425064
2007;Porto Vecchio Muratello;28957
2007;Rogliano;420
2005;Prunelli Arghiaccia;1284395
2005;Fiumorbo;1854427
2005;Balagne;672191
2008;Ghisonaccia;2287308
2009;Tavignano;1248388
2010;Alesani;1540475
2009;Sud-Est;4816103
2012;Tavignano;1303854
2011;Ortolo;201729
2016;Bas Tavaro;189968
2015;Nebbiu;235710
2016;Haut-Tavignano;1938151
2016;Rogliano;341
2005;Haut-Tavignano;1255099
2003;Tavignano;1539728
2003;Marana;4743067
2004;Marana;4389848
2014;Ghisonaccia;2570918
2015;Fiumorbo;1360614
2014;Sud-Est;4804773
2013;Marana;3266202
2014;Ortolo;157530
2017;Ghisonaccia;2905233
2015;Marana;3012533
2009;Marana;2776555
2012;Balagne;562040
2013;Balagne;461569
2006;Tavignano;1188954
2006;Fiumorbo;2124224
2008;Alesani;1657134
2003;Tagnone-Tavignano;2394671
2004;Bravone;1109275
2005;Tavignano;1098061
2004;Fiumorbo;1637709
2005;Bravone;1218388
2008;Tavignano;1039997
2011;Tagnone-Tavignano;1949204
2015;Haut Tavaro;22231
2004;Haut-Tavignano;1458729
2003;Ghisonaccia;4142196
