"ANNEE","TERRITOIRE_DE_PROJET","CANTON","VOLUME_EAU"
2003,"plaine orientale","porto-vecchio",706500
2003,"plaine orientale","",706500
2003,"extreme sud / alta rocca","porto-vecchio",706500
2003,"extreme sud / alta rocca","",706500
2003,"","",1413000
2005,"taravo / valinco / sartenais","sartene",7669950
2005,"taravo / valinco / sartenais","",7669950
2005,"","",7669950
2009,"plaine orientale","moita-verde",156807200
2009,"plaine orientale","",156807200
2009,"","",156807200
2011,"plaine orientale","prunelli-di-fiumorbo",18648900
2011,"plaine orientale","",18648900
2011,"","",18648900
2013,"pays bastiais","capobianco",40950
2013,"pays bastiais","",40950
2013,"","",40950
2015,"pays bastiais","capobianco",12150
2015,"pays bastiais","",12150
2015,"","",12150
,"","",184592150
