"id","date","territoire","volume_eau_brute"
1,2005,"ortolo",153399
2,2013,"rogliano",819
3,2017,"tavignano",1961255
4,2015,"rogliano",243
5,2009,"linguizetta",1568072
6,2011,"mignataja",372978
7,2003,"porto vecchio muratello",14130
8,2003,"haut-tavignano",1918909
9,2003,"rogliano",645
10,2005,"tagnone-tavignano",1657374
11,2005,"bas tavaro",230334
12,2005,"sud-est",4447776
13,2007,"prunelli arghiaccia",1729533
14,2007,"tagnone-tavignano",2113844
15,2008,"porto vecchio muratello",24668
16,2008,"prunelli arghiaccia",1336605
17,2009,"bas tavaro",130575
18,2014,"casinca",3785728
19,2016,"tavignano",1351852
20,2017,"balagne",1016807
21,2017,"rogliano",292
22,2003,"mignataja",627056
23,2010,"ortolo",142582
24,2008,"haut-tavignano",1537521
25,2008,"mignataja",371200
26,2015,"alesani",2263662
27,2013,"haut tavaro",12797
28,2012,"ortolo",175296
29,2017,"tagnone-tavignano",2078649
30,2003,"linguizetta",2082534
31,2004,"nebbiu",106227
32,2005,"haut tavaro",73877
33,2006,"bas tavaro",150438
34,2006,"ortolo",161246
35,2010,"linguizetta",1317193
36,2012,"bas tavaro",235295
37,2016,"nebbiu",222293
38,2014,"prunelli arghiaccia",1669561
39,2009,"rogliano",735
40,2010,"balagne",501933
41,2013,"linguizetta",1111826
42,2013,"ghisonaccia",2310168
43,2012,"bravone",1206939
44,2008,"linguizetta",1472362
45,2009,"ghisonaccia",2658043
46,2007,"casinca",3166259
47,2010,"tavignano",930120
48,2012,"ghisonaccia",2420308
49,2014,"rogliano",467
50,2005,"porto vecchio muratello",20480
